*	OSC1_Ch1	OSC1_Ch2	
-0.00101184164653034	13.6030252320432	0	0
-0.000961841646528683	13.6030252320432	0	0
-0.000911841646534128	13.6030252320432	0	0
-0.000861841646532468	13.6030252320432	0	0
-0.000811841646530809	13.6030252320432	0	0
-0.000761841646529149	13.6030252320432	0	0
-0.000711841646534594	13.6030252320432	0	0
-0.000661841646532935	13.6030252320432	0	0
-0.000611841646531275	13.6030252320432	0	0
-0.000599341646534413	13.6030252320432	0	0
-0.000593091646528876	13.6030252320433	0	0
-0.000580591646532014	13.6030252320433	0	0
-0.000579029146528853	13.6030252320432	0	0
-0.000575904146529638	13.6030252320434	0	0
-0.000575806490282105	13.6030252320576	0	0
-0.000575794283250275	12.0310543303291	0	0
-0.000575778347915445	9.9962202690238	0	0
-0.000575760529770264	7.74994298525749	0	0
-0.000575731633027488	4.17552854969162	0	0
-0.000575706327801129	1.11467277847626	0	0
-0.000575682315677284	0.0182035646190437	0	0
-0.000575661386186255	0.0175744754170522	0	0
-0.000575634970537919	0.0179987633610175	0	0
-0.000575612525750557	0.0179998324918174	0	0
-0.000575583538243052	0.0179996740920023	0	0
-0.000575564718715782	0.017999673275753	0	0
-0.00057554682756944	0.017999673320741	0	0
-0.000575530994005646	0.0179996733213068	0	0
-0.000575514812140909	0.0179996733212819	0	0
-0.000575484913483137	0.0179996733212819	0	0
-0.000575444154172544	0.0179996733212819	0	0
-0.000575411523186631	0.017999673321281	0	0
-0.000575380872895437	0.0179996733212802	0	0
-0.00057534983865537	0.017999673321281	0	0
-0.000575295619221095	0.0179996733212819	0	0
-0.000575206399993533	0.0179996733212819	0	0
-0.00057507690098646	0.0179996733212828	0	0
-0.000574889102281873	0.017999673321281	0	0
-0.000574605931447536	0.0179996733212846	0	0
-0.000574174382741433	0.017999673321281	0	0
-0.00057376936890563	0.0179996733212775	0	0
-0.000573327640665866	0.017999673321281	0	0
-0.000572778693857856	0.0179996733212775	0	0
-0.000571969666800953	0.0179996733212775	0	0
-0.000570351612680042	0.0179996733212704	0	0
-0.000567569613743046	0.0179996733212846	0	0
-0.000563343090583146	0.0179996733212988	0	0
-0.000554890044263345	0.0179996733212562	0	0
-0.000537983951630849	0.0179996733212704	0	0
-0.000504171766351647	0.0179996733213272	0	0
-0.000454171766349987	0.0179996733212704	0	0
-0.000404171766348327	0.0179996733212704	0	0
-0.000354171766346667	0.0179996733212704	0	0
-0.000304171766352113	0.0179996733212704	0	0
-0.000254171766350453	0.0179996733212704	0	0
-0.000204171766348793	0.0179996733212704	0	0
-0.000154171766347133	0.0179996733212704	0	0
-0.000104171766345473	0.0179996733212704	0	0
-5.41717663509189E-5	0.0179996733212704	0	0
-4.17176634925909E-6	0.0179996733212704	0	0
-1.04676635004353E-6	0.0179996733212846	0	0
-6.56141345700689E-7	0.017999673321043	0	0
-4.60828850634698E-7	0.0179996729957921	0	0
-7.02038462918608E-8	0.0179996731042493	0	0
-4.68025618260981E-8	0.0179996733198031	0	0
0	3.61901218371212	0	0
1.41294731470509E-8	5.27860428156531	0	0
2.38969815047341E-8	6.48403368757584	0	0
3.78591265004502E-8	8.21584592008379	0	0
5.23481606951037E-8	10.0022453503145	0	0
7.09686207578386E-8	12.2709795079096	0	0
9.05718873234207E-8	13.6019681634798	0	0
1.0814318396335E-7	13.6036362093185	0	0
1.24913869026244E-7	13.6030273994282	0	0
1.39953070688037E-7	13.6030248687158	0	0
1.70031473789578E-7	13.6030252283911	0	0
2.30188280214705E-7	13.6030252322129	0	0
2.69912904471425E-7	13.6030252320439	0	0
2.9693128267283E-7	13.6030252320432	0	0
3.12481530873043E-7	13.6030252320432	0	0
3.37696385299679E-7	13.6030252320432	0	0
3.59765184310135E-7	13.6030252320432	0	0
3.97937177654129E-7	13.6030252320432	0	0
4.50510055260978E-7	13.6030252320432	0	0
4.93634612297456E-7	13.6030252320432	0	0
5.38156640139675E-7	13.6030252320432	0	0
5.79027792602105E-7	13.6030252320432	0	0
6.47100105499732E-7	13.6030252320432	0	0
7.61653239145232E-7	13.6030252320432	0	0
9.3021972991103E-7	13.6030252320432	0	0
1.17372590158205E-6	13.6030252320432	0	0
1.53941877156782E-6	13.6030252320432	0	0
2.09770060810577E-6	13.6030252320432	0	0
2.6015582432759E-6	13.6030252320432	0	0
3.1641671853766E-6	13.6030252320432	0	0
3.87698085768662E-6	13.6030252320432	0	0
4.96201200261837E-6	13.6030252320432	0	0
7.13207429225982E-6	13.6030252320432	0	0
1.06170567539809E-5	13.6030252320432	0	0
1.62756092247918E-5	13.6030252320432	0	0
2.75927141661914E-5	13.6030252320432	0	0
5.02269240489905E-5	13.6030252320432	0	0
9.5495343814811E-5	13.6030252320432	0	0
0.000145495343814916	13.6030252320432	0	0
0.000195495343815022	13.6030252320432	0	0
0.000245495343815127	13.6030252320432	0	0
0.000295495343815233	13.6030252320432	0	0
0.000345495343815339	13.6030252320432	0	0
0.000395495343815444	13.6030252320432	0	0
0.00044549534381555	13.6030252320432	0	0
0.000495495343815655	13.6030252320432	0	0
0.000545495343815761	13.6030252320432	0	0
0.000595495343815866	13.6030252320432	0	0
0.000645495343815972	13.6030252320432	0	0
0.000657995343815943	13.6030252320432	0	0
0.000664245343815928	13.6030252320433	0	0
0.000665026593815954	13.6030252320433	0	0
0.000666589093816006	13.6030252320432	0	0
0.000666784406315957	13.6030252322283	0	0
0.000666882062565932	13.6030252322737	0	0
0.000666930890691031	13.6030252321662	0	0
0.000666939472067751	13.6030252323236	0	0
0.000666948053444472	13.6030252319752	0	0
0.000666960193020705	12.6135448728273	0	0
0.000666970277644285	11.4669344104356	0	0
0.000666979784615052	10.2987365684956	0	0
0.000666991704821207	8.80939490071263	0	0
0.000667005049374225	7.14417974741404	0	0
0.000667018972040356	5.42082213490501	0	0
0.000667035826685813	3.35884634940179	0	0
0.000667060518159346	0.388685901252678	0	0
0.000667084127719431	0.0173252728865272	0	0
0.000667102028226507	0.0178551503486997	0	0
0.000667118668092881	0.0179997035840538	0	0
0.000667146355467718	0.0179997913775622	0	0
0.000667168903373483	0.0179996735172008	0	0
0.000667191064436024	0.017999673265229	0	0
0.000667209295309279	0.0179996733210732	0	0
0.000667223842026443	0.0179996733213112	0	0
0.00066725005622259	0.0179996733212828	0	0
0.000667287594642296	0.0179996733212828	0	0
0.00066732028681038	0.017999673321281	0	0
0.000667351960990548	0.0179996733212819	0	0
0.000667379836196247	0.017999673321281	0	0
0.000667423907791731	0.0179996733212819	0	0
0.000667499824721141	0.0179996733212819	0	0
0.000667612721224842	0.017999673321281	0	0
0.000667774946594424	0.017999673321281	0	0
0.000668017080748706	0.017999673321281	0	0
0.000668385852782505	0.0179996733212846	0	0
0.000668793368851173	0.0179996733212846	0	0
0.000669210766082617	0.0179996733212846	0	0
0.000669704775599467	0.0179996733212846	0	0
0.00067037770117917	0.0179996733212775	0	0
0.000671533359350551	0.0179996733212775	0	0
0.000673844675693536	0.0179996733212704	0	0
0.000677263651050364	0.0179996733212704	0	0
0.000683819332775615	0.0179996733212846	0	0
0.000696930696226117	0.017999673321313	0	0
0.000723153423127121	0.0179996733212704	0	0
0.000773153423127226	0.017999673321242	0	0
0.000823153423127332	0.0179996733212704	0	0
0.000873153423127437	0.0179996733212704	0	0
0.000923153423127543	0.0179996733212704	0	0
0.000973153423127648	0.0179996733212704	0	0
0.00102315342312775	0.0179996733212704	0	0
0.00107315342312786	0.0179996733212704	0	0
0.00112315342312796	0.0179996733212704	0	0
0.00117315342312807	0.0179996733212704	0	0
0.00122315342312818	0.0179996733212704	0	0
0.00123565342312815	0.0179996733212988	0	0
0.00124190342312813	0.0179996733212562	0	0
0.00124268467312816	0.0179996733211851	0	0
0.00124278232937813	0.0179996733046028	0	0
0.00124283115750323	0.0179996731872398	0	0
0.00124286179298805	2.86724298765184	0	0
0.00124287769228859	4.7522455793977	0	0
0.00124288983592558	6.25535315606384	0	0
0.00124290480854161	8.11547059013988	0	0
0.00124292027869144	10.0236774630349	0	0
0.00124294019540438	12.4488579492363	0	0
0.00124296011834146	13.6023941898168	0	0
0.0012429772360949	13.6035444487867	0	0
0.00124299650959903	13.6030268851879	0	0
0.00124301301506846	13.6030249695599	0	0
0.00124304602600755	13.6030252296993	0	0
0.00124311204788552	13.6030252321552	0	0
0.00124314683182347	13.6030252320436	0	0
0.00124317162557785	13.6030252320432	0	0
0.00124318328178497	13.6030252320432	0	0
0.00124319772164982	13.6030252320432	0	0
0.00124321571027308	13.6030252320432	0	0
0.00124325168751982	13.6030252320432	0	0
0.00124330322311894	13.6030252320432	0	0
0.00124334877965593	13.6030252320432	0	0
0.00124339386892403	13.6030252320432	0	0
0.00124343159963769	13.6030252320432	0	0
0.00124348971399391	13.6030252320432	0	0
0.00124359152776332	13.6030252320432	0	0
0.0012437440714268	13.6030252320432	0	0
0.00124396269240745	13.6030252320432	0	0
0.00124428838081969	13.6030252320432	0	0
0.00124478533357175	13.6030252320432	0	0
0.0012452815035493	13.6030252320432	0	0
0.00124581433310378	13.6030252320432	0	0
0.00124646540586326	13.6030252320432	0	0
0.00124739277542507	13.6030252320432	0	0
0.0012491468618403	13.6030252320432	0	0
0.00125265503467076	13.6030252320432	0	0
0.00125759644583967	13.6030252320432	0	0
0.0012674792681775	13.6030252320432	0	0
0.00128724491285315	13.6030252320432	0	0
0.00132677620220467	13.6030252320432	0	0
0.00137677620220478	13.6030252320432	0	0
0.00142677620220488	13.6030252320432	0	0
0.00147677620220499	13.6030252320432	0	0
0.00152677620220509	13.6030252320432	0	0
0.0015767762022052	13.6030252320432	0	0
0.0016267762022053	13.6030252320432	0	0
0.00167677620220541	13.6030252320432	0	0
0.00172677620220552	13.6030252320432	0	0
0.00177677620220562	13.6030252320432	0	0
0.00182677620220573	13.6030252320432	0	0
0.00187677620220583	13.6030252320432	0	0
0.0018892762022058	13.6030252320432	0	0
0.00189552620220579	13.6030252320433	0	0
0.00190802620220576	13.6030252320433	0	0
0.00190958870220581	13.6030252320432	0	0
0.00190978401470576	13.603025232229	0	0
0.00190980842876831	13.6030252329074	0	0
0.00190984275488337	10.8346395575873	0	0
0.00190985686994227	9.19606011391949	0	0
0.0019098632627188	8.40682036474269	0	0
0.00190987497171058	6.95352567591124	0	0
0.0019098864949163	5.52914600087389	0	0
0.00190990074620823	3.78321369484656	0	0
0.00190992235723764	1.17316262521763	0	0
0.00190994491057084	0.0183657635473891	0	0
0.00190996383023112	0.0175364537093694	0	0
0.00190998534358089	0.0179984492139047	0	0
0.0019100052070673	0.0179998954928582	0	0
0.00191003272469414	0.0179996745186184	0	0
0.00191005111042264	0.0179996732533372	0	0
0.00191006864978394	0.0179996733204257	0	0
0.0019100822306668	0.0179996733213148	0	0
0.00191009715022017	0.0179996733212837	0	0
0.00191012698932713	0.0179996733212828	0	0
0.00191016733515603	0.0179996733212828	0	0
0.00191019996855402	0.017999673321281	0	0
0.00191023368660126	0.0179996733212802	0	0
0.00191026423856844	0.0179996733212828	0	0
0.00191031553664089	0.017999673321281	0	0
0.00191040238350415	0.0179996733212828	0	0
0.0019105302442386	0.0179996733212828	0	0
0.00191071471267268	0.0179996733212828	0	0
0.0019109915011255	0.017999673321281	0	0
0.00191141348304891	0.0179996733212846	0	0
