*	OSC1_Ch1	OSC1_Ch2	
-0.00116033456662734	0.0179996733212704	0	0
-0.00111033456662568	0.0179996733212704	0	0
-0.00106033456663113	0.0179996733212704	0	0
-0.00101033456662947	0.0179996733212704	0	0
-0.000960334566627807	0.0179996733212704	0	0
-0.000910334566626148	0.0179996733212695	0	0
-0.000860334566631593	0.0179996733212704	0	0
-0.000810334566629933	0.0179996733212704	0	0
-0.000760334566628274	0.0179996733212704	0	0
-0.000710334566626614	0.0179996733212704	0	0
-0.000660334566632059	0.0179996733212704	0	0
-0.000610334566630399	0.0179996733212695	0	0
-0.00056033456662874	0.0179996733212704	0	0
-0.00051033456662708	0.0179996733212704	0	0
-0.000460334566632525	0.0179996733212704	0	0
-0.000410334566630866	0.0179996733212695	0	0
-0.000360334566629206	0.0179996733212704	0	0
-0.000310334566627546	0.0179996733212704	0	0
-0.000260334566625886	0.0179996733212695	0	0
-0.000210334566631332	0.0179996733212704	0	0
-0.000160334566629672	0.0179996733212704	0	0
-0.000110334566628012	0.0179996733212704	0	0
-6.03345666263522E-5	0.0179996733212704	0	0
-1.03345666317978E-5	0.0179996733212704	0	0
-7.20956663258221E-6	0.0179996733212846	0	0
-9.5956662704566E-7	0.0179996733212846	0	0
-1.78316632570841E-7	0.0179996733212837	0	0
-8.06603779324178E-8	0.0179996733209	0	0
-3.18322577186336E-8	0.0179996733201078	0	0
0	2.9574783823713	0	0
1.56222732528022E-8	4.81024996402971	0	0
2.73824253271826E-8	6.26610850850445	0	0
3.80214086881381E-8	7.59130735791817	0	0
4.63510617665364E-8	8.62596644904849	0	0
5.38500025681898E-8	9.55273504517629	0	0
6.0374679811126E-8	10.3547980021722	0	0
6.85260618249473E-8	11.3508710373519	0	0
8.01417840978758E-8	12.7587221684337	0	0
8.5034801311501E-8	13.3477081151418	0	0
1.0216208734537E-7	13.6033296727608	0	0
1.0976564812637E-7	13.603026221002	0	0
1.1612195083277E-7	13.6030248468631	0	0
1.21930598284692E-7	13.6030252277273	0	0
1.32164391652978E-7	13.6030252329274	0	0
1.49925936110407E-7	13.6030252320519	0	0
1.75914945943489E-7	13.6030252320426	0	0
2.13350090150222E-7	13.6030252320432	0	0
2.69908410510666E-7	13.6030252320432	0	0
3.56878513740888E-7	13.6030252320432	0	0
4.89646435508639E-7	13.6030252320432	0	0
6.91708527233992E-7	13.6030252320432	0	0
1.00040484618535E-6	13.6030252320432	0	0
1.47168311059875E-6	13.6030252320432	0	0
1.74713292855344E-6	13.6030252320432	0	0
1.96073360680948E-6	13.6030252320432	0	0
2.17284740133827E-6	13.6030252320432	0	0
2.5764124397254E-6	13.6030252320432	0	0
3.38354251661066E-6	13.6030252320432	0	0
4.99780267027017E-6	13.6030252320432	0	0
6.81887529396796E-6	13.6030252320432	0	0
8.53845546633369E-6	13.6030252320432	0	0
1.03466389365092E-5	13.6030252320432	0	0
1.24651119196573E-5	13.6030252320432	0	0
1.53326846418222E-5	13.6030252320432	0	0
2.00302944877162E-5	13.6030252320432	0	0
2.94255141796151E-5	13.6030252320432	0	0
4.39437830940248E-5	13.6030252320432	0	0
6.84343153929401E-5	13.6030252320432	0	0
0.00011741537999066	13.6030252320432	0	0
0.000167415379990654	13.6030252320432	0	0
0.000179915379990625	13.6030252320432	0	0
0.00018616537999061	13.6030252320432	0	0
0.000186456202611596	13.6030252320465	0	0
0.000187037847853566	13.6030252320578	0	0
0.000187056024267385	11.2738115388596	0	0
0.000187086988676755	7.3677131694638	0	0
0.000187102949660289	5.38889237692366	0	0
0.000187114959995127	3.91637824246594	0	0
0.000187129597093549	2.14136400762663	0	0
0.000187140814733588	0.79553531378855	0	0
0.000187157528431792	0.0180560773684233	0	0
